repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,45200,https://gitub.com/scikit-learn/scikit-learn
superset,apache,36900,https://gitub.com/apache/superset
pandas,pandas-dev,29300,https://gitub.com/pandas-dev/pandas
metabase,metabase,24500,https://gitub.com/metabase/metabase
streamlit,streamlit,14100,https://gitub.com/streamlit/streamlit
goaccess,allinurl,13000,https://gitub.com/allinurl/goaccess
CyberChef,gchq,11600,https://gitub.com/gchq/CyberChef
AI-Expert-Roadmap,AMAI-GmbH,9900,https://gitub.com/AMAI-GmbH/AI-Expert-Roadmap
OpenRefine,OpenRefine,8000,https://gitub.com/OpenRefine/OpenRefine
mlcourse.ai,Yorko,7600,https://gitub.com/Yorko/mlcourse.ai
pandas-profiling,pandas-profiling,7100,https://gitub.com/pandas-profiling/pandas-profiling
statsmodels,statsmodels,6200,https://gitub.com/statsmodels/statsmodels
pandas_exercises,guipsamora,6000,https://gitub.com/guipsamora/pandas_exercises
imbalanced-learn,scikit-learn-contrib,5200,https://gitub.com/scikit-learn-contrib/imbalanced-learn
alluxio,Alluxio,5000,https://gitub.com/Alluxio/alluxio
Data-Analysis-and-Machine-Learning-Projects,rhiever,5000,https://gitub.com/rhiever/Data-Analysis-and-Machine-Learning-Projects
pachyderm,pachyderm,5000,https://gitub.com/pachyderm/pachyderm
gonum,gonum,4800,https://gitub.com/gonum/gonum
knowledge-repo,airbnb,4700,https://gitub.com/airbnb/knowledge-repo
weibospider,SpiderClub,4600,https://gitub.com/SpiderClub/weibospider
gop,goplus,4600,https://gitub.com/goplus/gop
awesome-R,qinwf,4500,https://gitub.com/qinwf/awesome-R
pyod,yzhao062,4400,https://gitub.com/yzhao062/pyod
pydata-notebook,BrambleXu,4100,https://gitub.com/BrambleXu/pydata-notebook
sqlpad,sqlpad,3700,https://gitub.com/sqlpad/sqlpad
akshare,jindaxiang,3400,https://gitub.com/jindaxiang/akshare
Ai-Learn,tangyudi,3200,https://gitub.com/tangyudi/Ai-Learn
xlearn,aksnzhy,2900,https://gitub.com/aksnzhy/xlearn
missingno,ResidentMario,2700,https://gitub.com/ResidentMario/missingno
plotnine,has2k1,2700,https://gitub.com/has2k1/plotnine
