repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,155000,https://gitub.com/tensorflow/tensorflow
keras,keras-team,51000,https://gitub.com/keras-team/keras
pytorch,pytorch,47500,https://gitub.com/pytorch/pytorch
scikit-learn,scikit-learn,45200,https://gitub.com/scikit-learn/scikit-learn
TensorFlow-Examples,aymericdamien,40400,https://gitub.com/aymericdamien/TensorFlow-Examples
tesseract,tesseract-ocr,39500,https://gitub.com/tesseract-ocr/tesseract
face_recognition,ageitgey,39300,https://gitub.com/ageitgey/face_recognition
faceswap,deepfakes,34900,https://gitub.com/deepfakes/faceswap
julia,JuliaLang,33200,https://gitub.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,31900,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
caffe,BVLC,31500,https://gitub.com/BVLC/caffe
awesome-scalability,binhnguyennus,31500,https://gitub.com/binhnguyennus/awesome-scalability
madewithml,GokuMohandas,25600,https://gitub.com/GokuMohandas/madewithml
machine-learning-for-software-engineers,ZuzooVn,24900,https://gitub.com/ZuzooVn/machine-learning-for-software-engineers
awesome-deep-learning-papers,terryum,22800,https://gitub.com/terryum/awesome-deep-learning-papers
handson-ml,ageron,22600,https://gitub.com/ageron/handson-ml
cs-video-courses,Developer-Y,22200,https://gitub.com/Developer-Y/cs-video-courses
d2l-zh,d2l-ai,22100,https://gitub.com/d2l-ai/d2l-zh
Coursera-ML-AndrewNg-Notes,fengdu78,21600,https://gitub.com/fengdu78/Coursera-ML-AndrewNg-Notes
data-science-ipython-notebooks,donnemartin,20900,https://gitub.com/donnemartin/data-science-ipython-notebooks
xgboost,dmlc,20800,https://gitub.com/dmlc/xgboost
fastai,fastai,20700,https://gitub.com/fastai/fastai
openpose,CMU-Perceptual-Computing-Lab,20600,https://gitub.com/CMU-Perceptual-Computing-Lab/openpose
spaCy,explosion,20100,https://gitub.com/explosion/spaCy
ML-From-Scratch,eriklindernoren,19700,https://gitub.com/eriklindernoren/ML-From-Scratch
NLP-progress,sebastianruder,18300,https://gitub.com/sebastianruder/NLP-progress
homemade-machine-learning,trekhleb,17300,https://gitub.com/trekhleb/homemade-machine-learning
DeepSpeech,mozilla,17000,https://gitub.com/mozilla/DeepSpeech
CNTK,microsoft,17000,https://gitub.com/microsoft/CNTK
awesome-deep-learning,ChristosChristofidis,16900,https://gitub.com/ChristosChristofidis/awesome-deep-learning
